Mika,root,0,0,165,0,197,223,262,281,253,220,216,241,273,0,0,0,0,0,0,0,0,0
Nora,root,417,334,302,233,224,210,223,205,211,210,0,0,0,0,0,0,0,0,0,0,0,0
Renske,root,0,0,0,0,0,176,228,184,221,191,167,174,193,0,0,0,164,157,0,0,0,0
Tristan,root,0,0,0,0,173,202,246,221,214,211,253,243,224,217,0,0,0,0,0,0,0,0
Brian,root,0,0,0,0,0,0,0,0,0,0,0,0,0,221,281,270,272,254,267,322,285,354
Danny,root,0,0,0,0,0,0,0,0,0,0,0,0,0,207,272,319,352,377,435,453,519,478
Joyce,root,0,0,0,0,0,0,0,0,0,0,0,0,0,194,225,233,251,272,307,337,412,403
Kelly,root,0,0,0,0,0,0,0,0,0,0,0,0,0,195,274,316,375,412,451,492,593,731
Sharon,root,0,0,0,0,0,0,0,0,0,0,0,0,0,204,250,268,349,361,394,534,523,429
Simone,root,0,0,0,0,0,0,0,0,0,0,0,0,0,168,197,221,219,264,310,340,378,387
Bryan,root,0,0,0,0,0,0,0,0,0,0,0,0,221,0,219,230,203,238,202,217,274,201
Dani,root,254,272,227,231,232,278,222,175,180,0,0,0,0,0,0,0,0,0,0,0,0,0
Fenne,root,250,243,254,252,255,241,245,212,0,166,0,0,0,0,0,0,0,0,0,0,0,0
Isis,root,0,162,201,184,201,173,178,181,172,183,0,0,0,0,0,0,0,0,0,0,0,0
Lina,root,241,236,290,270,244,240,191,192,160,0,0,0,0,0,0,0,0,0,0,0,0,0
Marijn,root,0,0,0,0,0,0,202,213,219,225,260,242,230,223,199,0,0,0,0,0,0,0
Pien,root,0,0,0,160,0,196,174,169,210,221,199,190,180,0,0,0,0,0,0,0,0,0
Quinty,root,0,0,0,0,175,161,0,163,0,157,0,166,230,258,235,260,0,0,0,0,0,0
Rachel,root,0,0,0,0,0,0,0,0,0,0,0,188,189,247,183,187,173,194,188,0,179,0
Stef,root,178,0,0,179,177,179,0,0,0,0,0,0,210,246,213,232,221,0,0,0,0,0
Youri,root,0,0,0,0,0,0,0,0,176,0,0,208,0,211,250,241,255,285,372,213,0,0
Patrick,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,312,338,355,527,624,567,671
Remco,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,270,268,285,319,456,399,398
Ricardo,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,202,244,240,243,312,318,335
Mitchell,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,214,237,214,253,317,393,342
Dean,root,249,250,296,440,348,230,254,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evy,root,226,252,224,200,184,202,179,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joshua,root,0,191,197,212,250,201,182,177,0,0,0,211,0,0,0,0,0,0,0,0,0,0
