Testing,Parent,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Austria,WesternEurope,7579.0,7566.0,7568.0,7562.0,7549.0,7549.0,7559.0,7571.0,7548.0,7552.0,7555.0,7565.0,7573.0,7615.0,7659.0,7729.0,7813.0,7914.0,7991.0,7936.0,7948.0,7959.0,7968.041015625,7976.7890625,7992.3232421875,8011.56591796875,8042.29296875,8082.12109375,8118.2451171875,8169.44091796875,8225.2783203125,8267.9482421875,8295.189453125,8321.541015625,8341.4833984375,8361.0693359375,8388.5341796875,8426.310546875,8477.23046875,8543.974609375,8629.49609375,8690.076171875
Iceland,NorthernEurope(pre-USSR),218.0,220.0,222.0,224.0,226.0,228.0,231.0,234.0,237.0,239.0,241.0,243.0,246.0,250.0,253.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HolySee,SouthernEurope,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7860000133514404,0.7860000133514404,0.7860000133514404,0.7860000133514404,0.7860000133514404,0.7860000133514404,0.7860000133514404,0.7860000133514404,0.7860000133514404,0.7860000133514404,0.7860000133514404,0.7860000133514404,0.46000000834465027,0.46000000834465027,0.45100000500679016,0.45100000500679016,0.45100000500679016,0.45100000500679016,10.0
Spain,SouthernEurope,35596.0,35971.0,36351.0,36775.0,37183.0,37542.0,37751.0,37970.0,38162.0,38328.0,38474.0,38604.0,38716.0,38809.0,38792.0,38851.0,38920.0,39011.0,39096.0,39263.0,39388.0,39479.0,39583.3828125,39722.07421875,39927.22265625,40264.16015625,40721.4453125,41314.01953125,42004.57421875,42859.171875,43662.6171875,44360.5234375,45236.00390625,45983.16796875,46367.546875,46562.484375,46736.25390625,46766.3984375,46593.234375,46480.8828125,46447.6953125,46445.828125
WestGermany,WesternEurope,61832.0,61513.0,61396.0,61310.0,61337.0,61538.0,61663.0,61596.0,61383.0,61126.0,60975.0,61010.0,61097.0,61420.0,62063.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norway,NorthernEurope(pre-USSR),4007.0,4026.0,4043.0,4059.0,4073.0,4086.0,4100.0,4115.0,4128.0,4140.0,4153.0,4167.0,4187.0,4209.0,4227.0,4241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poland,EasternEurope(pre-USSR),34022.0,34362.0,34698.0,35010.0,35257.0,35578.0,35902.0,36227.0,36571.0,36914.0,37203.0,37456.0,37664.0,37862.0,37963.0,38119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denmark,NorthernEurope(pre-USSR),5060.0,5073.0,5088.0,5104.0,5117.0,5123.0,5122.0,5118.0,5114.0,5112.0,5114.0,5121.0,5127.0,5130.0,5133.0,5140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FaroeIslands,NorthernEurope(pre-USSR),41.0,41.0,42.0,42.0,43.0,43.0,44.0,44.0,45.0,45.0,46.0,46.0,47.0,47.0,47.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Romania,EasternEurope(pre-USSR),21245.0,21446.0,21658.0,21855.0,22048.0,22201.0,22353.0,22478.0,22553.0,22625.0,22725.0,22823.0,22940.0,23054.0,23152.0,23207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
